Nbr of Oscars,Oscar,Nbr of Baftas,Bafta,Multiple Oscars,Oscar Winner?,Film,Foreign Gross,Genre,Lead Studio,Story,Year,Audience  score %,Box Office Average per US Cinema (Opening Weekend),Budget (M),Margin,Profit (M),Domestic Gross (M),Number of Theatres in US Opening Weekend,Opening Weekend (M),Profitability,Rotten Tomatoes %,Worldwide Gross (M)
0,,0,,No,No,The Last Song,26.09,Drama,Disney,Discovery,2010,66,5989,20,0.78,69,63,2673,16,4.452,0.19,89
0,,0,,No,No,The Greatest,0.3,Drama,Independent,Discovery,2010,39,,6,-13.63,-5.6,0.1,,0.3,0.068333333,0.52,0
0,,0,,No,No,The Company Men,,Drama,Independent,Discovery,2010,56,,,,,,,,,0.66,0
0,,0,,No,No,For Colored Girls,17.32,Drama,Independent,Discovery,2010,73,9167,21,0.62,34,37.7,2127,19.5,2.61952381,0.33,55
0,,0,,No,No,Buried,17.33,Drama,Independent,Escape,2010,63,9115,2,0.89,16.4,1,11,0.1,9.185,0.86,18
0,,0,,No,No,Eat Pray Love,123.91,Drama,Sony,Journey and Return,2010,46,7497,60,0.71,144.5,80.6,3082,23.1,3.408,0.36,204
0,,0,,No,No,Dear John,34.96,Drama,Sony,Love,2010,66,10262,25,0.78,90,80,2969,30.4,4.5988,0.29,115
0,,0,,No,No,Remember Me,36.79,Drama,Summit,Love,2010,70,3657,16,0.71,39.9,19.1,2212,8,3.49125,0.28,56
0,,0,,No,No,The Last Exorcism,25.42,Drama,Independent,Monster Force,2010,32,7087,1.8,0.97,64.7,41,2874,20.4,36.91666667,0.73,66
0,,0,,No,No,The Twilight Saga: Eclipse,393.05,Drama,Summit,Monster Force,2010,74,14510,68,0.9,625.6,300.5,4468,64.8,10.19970588,0.5,694
0,,0,,No,No,The Wolfman,77.81,Drama,Universal,Monster Force,2010,38,9770,150,-0.07,-10.2,62,3222,31.5,0.931933333,0.33,140
0,,0,,No,No,Winter's Bone,1.54,Drama,Independent,Quest,2010,73,,2,0.74,5.8,6.3,,0.8,3.895,0.94,8
0,,0,,No,No,Burlesque,17.84,Drama,Paramount,Rags to Riches,2010,66,3934,55,0.02,1.1,38.2,3037,12,1.019636364,0.36,56
0,,0,,No,No,Country Strong,0.31,Drama,Sony,Rags to Riches,2010,56,5145,15,0.27,5.5,20.2,1424,7.3,1.368,0.2,21
0,,0,,No,No,Stone,6.59,Drama,Independent,Rivalry,2010,20,12628,22,-1.62,-13.6,1.8,6,0.1,0.381818182,0.49,8
0,,0,,No,No,Wall Street: Money Never Sleeps,78.16,Drama,Independent,Rivalry,2010,43,5333,70,0.46,60.6,52.5,3565,19,1.866142857,0.54,131
0,,0,,No,No,Hachiko: A Dog's Story,40.26,Drama,Independent,Sacrifice,2010,85,,16,0.6,24.3,0,,18,2.51625,0.58,40
0,,0,,No,No,All Good Things,0.062,Drama,Independent,The Riddle,2010,64,18500,20,-30.15,-19.4,0.6,2,0,0.0321,0.33,1
0,,0,,No,No,Shutter Island,166.79,Drama,Paramount,The Riddle,2010,73,13729,80,0.73,214.8,128,2991,41,3.685,0.68,295
0,,0,,No,No,Never Let Me Go,7.3,Drama,Independent,Tragedy,2010,70,,15,-0.54,-5.3,2.4,4,0.1,0.648666667,0.7,10
0,,0,,No,No,Mother and Child,3.76,Drama,Independent,Transformation,2010,61,,7,-0.44,-2.1,1.1,4,0.4,0.695714286,0.79,5
0,,0,,No,No,Step Up 3D,116.75,Drama,Summit,Transformation,2010,67,6494,30,0.81,129.2,42.4,2435,15.8,5.305,0.46,159
0,,0,,No,No,Extraordinary Measures,3.07,Drama,CBS,Underdog,2010,55,2359,31,-1.05,-15.9,12.1,2549,6,0.488387097,0.27,15
0,,0,,No,No,Charlie St. Cloud,14.93,Fantasy,Universal,Discovery,2010,62,4555,44,0.05,2.1,31.2,2718,12.4,1.0475,0.27,46
0,,0,,No,No,Case 39,14.93,Horror,Independent,Monster Force,2010,42,2420,26,0.08,2.2,13.3,2211,5.4,1.084230769,0.23,28
0,,0,,No,No,Devil,23.23,Horror,Independent,Monster Force,2010,45,4375,10,0.82,46.8,33.6,2809,12.3,5.683,0.52,57
0,,0,,No,No,The Crazies,15.47,Horror,Liberty Starz,Monster Force,2010,54,6489,20,0.63,34.6,39.1,2476,16.1,2.7295,0.72,55
0,,0,,No,No,Paranormal Activity 2,92.75,Horror,Paramount,Monster Force,2010,,12649,3,0.98,174.5,84.8,3216,40.7,59.16666667,,178
0,,0,,No,No,My Soul to Take,5.09,Horror,Relativity Media,Monster Force,2010,29,2660,25,-0.26,-5.2,14.7,2572,6.8,0.7932,0.09,20
0,,0,,No,No,A Nightmare on Elm Street,52.59,Horror,Warner Bros.,Monster Force,2010,40,9875,35,0.7,80.7,63.1,3332,32.9,3.304857143,0.13,116
0,,0,,No,No,The Ghost Writer,44.48,Mystery,Summit,The Riddle,2010,68,2520,45,0.25,15,15.5,819,2,1.333777778,0.83,60
0,,0,,No,No,The Tourist,210,Thriller,Sony,,2010,44,5977,100,0.64,177,67,2756,16,2.77,0.2,277
0,,0,,No,No,Fast Five,416.3,Action,Universal,Escape,2011,83,23655,125,0.8,501.1,209.8,3644,86.2,5.00904,0.78,626
0,,0,,No,No,Abduction,54,Action,Vertigo Entertainment,Maturation,2011,46,3504,35,0.57,47.1,28.1,3118,10.9,2.344828571,0.04,82
0,,0,,No,No,Captain America: The First Avenger,191.75,Action,Disney,Metamorphosis,2011,75,17512,140,0.62,228.4,176.7,3715,65.1,2.631457143,0.78,368
0,,0,,No,No,Green Lantern,103.25,Action,Warner Bros,Metamorphosis,2011,48,13935,200,0.09,19.9,116.6,3816,53.2,1.099255,0.27,220
0,,0,,No,No,Thor,267.48,Action,Disney,Monster Force,2011,80,16618,150,0.67,298.5,181,3955,65.7,2.99008,0.77,449
0,,0,,No,No,X-Men: First Class,207.22,Action,Disney,Monster Force,2011,88,15134,160,0.55,193.6,146.4,3641,55.1,2.21014375,0.87,354
0,,0,,No,No,Season Of The Witch,66.8,Action,Relativity,Monster Force,2011,32,3769,40,0.56,51.6,24.8,2816,10.6,2.29,0.1,92
0,,0,,No,No,Battle: Los Angeles,128.27,Action,Relativity Media,Monster Force,2011,50,10411,70,0.67,141.8,83.6,3417,35.6,3.025971429,0.35,212
0,,0,,No,No,Priest,49.17,Action,Sony,Monster Force,2011,37,5221,60,0.23,18.3,29.1,2864,15,1.305133333,0.17,78
0,,0,,No,No,Cowboys and Aliens,74.58,Action,Universal,Monster Force,2011,50,9715,163,0.07,11.8,100.2,3750,36.4,1.072521472,0.44,175
0,,0,,No,No,Mission Impossible 4,480.4,Action,Paramount,Pursuit,2011,86,8672,145,0.79,543.8,208.4,3448,29.6,4.750206897,0.93,689
0,,0,,No,No,Sherlock Holmes 2,335.6,Action,Warner Bros,Pursuit,2011,79,10704,125,0.76,397,186.4,3703,39.6,4.17568,0.6,522
0,,0,,No,No,"Pirates of the Caribbean:On Stranger Tides",802.8,Action,Disney,Quest,2011,61,21697,250,0.76,793.9,241.1,4155,90.2,4.175484,0.34,1044
0,,0,,No,No,Transformers: Dark of the Moon,770.81,Action,DreamWorks Pictures,Quest,2011,67,23937,195,0.83,928.2,352.4,4088,97.9,5.759974359,0.35,1123
0,,0,,No,No,Sucker Punch,53.4,Action,Legendary Pictures,Quest,2011,48,6284,82,0.09,7.8,36.4,3033,19.1,1.09502439,0.23,90
0,,0,,No,No,Conan the Barbarian,27.5,Action,Lionsgate,Quest,2011,34,3324,90,-0.84,-41.2,21.3,3015,10,0.542166667,0.22,49
0,,0,,No,No,Sanctum,85.4,Action,Relativity Media,Quest,2011,39,3390,30,0.72,78.6,23.2,2787,9.4,3.62,0.3,109
0,,0,,No,No,The Eagle,7.63,Action,Universal,Quest,2011,43,3782,25,0.08,2.1,19.5,2296,8.7,1.08484,0.39,27
0,,0,,No,No,Hanna,23.52,Action,Universal,Quest,2011,67,4880,30,0.53,33.8,40.3,2535,12.4,2.126033333,0.71,64
0,,0,,No,No,Spy Kids: All The Time in the World,35.54,Action,Weinstein Company,Quest,2011,40,3534,27,0.64,47.1,38.5,3295,11.6,2.743703704,0.22,74
0,,0,,No,No,Drive Angry,18.21,Action,Independent,Rescue,2011,38,2265,45,-0.56,-16.1,10.7,2290,5.2,0.642911111,0.45,29
0,,0,,No,No,Rise of the Planet of the Apes,304.52,Action,20th Century Fox,Revenge,2011,87,15024,93,0.81,388.2,176.7,3648,54.8,5.174473118,0.83,481
0,,0,,No,No,The Mechanic,22,Action,Independent,Revenge,2011,52,4226,40,0.22,11.2,29.2,2703,11.4,1.28,0.53,51
0,,0,,No,No,Immortals,102,Action,Relativity Media,Revenge,2011,59,10349,75,0.59,107.5,80.5,3112,32.2,2.433133333,0.36,182
0,,0,,No,No,Colombiana,24.3,Action,Sony,Revenge,2011,55,3982,40,0.34,21,36.7,2614,10.4,1.524125,0.28,61
0,,0,,No,No,The Green Hornet,129,Action,Columbia,Rivalry,2011,47,9335,120,0.47,107.8,98.8,3584,33.5,1.898333333,0.44,228
0,,0,,No,No,The Three Musketeers,111.9,Action,Independent,Rivalry,2011,48,2875,75,0.43,57.1,20.2,3017,8.7,1.76196,0.24,132
0,,0,,No,No,Killer Elite,27.84,Action,Independent,Rivalry,2011,48,3132,70,-0.32,-17,25.1,2986,9.4,0.756585714,0.25,53
0,,0,,No,No,Warrior,9.4,Action,Lionsgate,Rivalry,2011,93,2805,25,-0.08,-1.9,13.7,1869,5.2,0.92228,0.83,23
0,,0,,No,No,Never Back Down 2: The Beatdown,,Action,Sony,Rivalry,2011,44,,3,,,,,8.6,0,,
0,,0,,No,No,Machine Gun Preacher,0.57,Action,Lionsgate,Transformation,2011,71,,30,-26.2,-28.9,0.5,,0,0.036766667,0.29,1
0,,0,,No,No,Real Steel,186.2,Action,DreamWorks Pictures,Underdog,2011,81,7942,110,0.59,159.8,83.6,3440,27.3,2.452827273,0.58,270
0,,0,,No,No,Hugo,34.6,Adventure,Paramount,,2011,84,8899,150,-0.55,-53.3,62.1,1277,11.4,0.644533333,0.93,97
0,,0,,No,No,The Adventures of Tintin,296.4,Adventure,Paramount,Quest,2011,78,3149,130,0.65,243.6,77.2,3087,9.7,2.874153846,0.74,374
0,,0,,No,No,Rango,121.9,Animation,Paramount,Fish Out Of Water,2011,69,9722,135,0.45,110.2,123.3,3917,38.1,1.815955556,0.88,245
0,,0,,No,No,Cars 2,360.4,Animation,Pixar,Fish Out Of Water,2011,56,16072,200,0.64,351.9,191.5,4115,66.1,2.75925,0.38,552
0,,0,,No,No,Hop,75.87,Animation,Relativity Media,Fish Out Of Water,2011,50,10490,63,0.66,121,108.1,3579,37.5,2.919888889,0.26,184
0,,0,,No,No,The Smurfs,419.54,Animation,Sony Pictures Animation,Fish Out Of Water,2011,50,10489,110,0.8,452.2,142.6,3395,35.6,5.110527273,0.23,562
0,,0,,No,No,Arthur Christmas,100.95,Animation,Aardman Animations,Journey and Return,2011,82,3537,150,-0.02,-2.6,46.5,3376,12.1,0.982733333,0.92,147
0,,0,,No,No,Happy Feet 2,49.2,Animation,Village Roadshow Pictures,Journey and Return,2011,59,5889,135,-0.27,-28.5,57.3,3606,21.2,0.788940741,0.41,107
0,,0,,No,No,Gnomeo and Juliet,94,Animation,Disney,Love,2011,52,8469,36,0.81,158,100,2994,25.4,5.387972222,0.56,194
0,,0,,No,No,Rio,341.02,Animation,20th Century Fox,Quest,2011,73,10252,90,0.81,394.6,143.6,3826,39.2,5.384822222,0.71,485
0,,0,,No,No,Winnie The Pooh,6.46,Animation,Disney,Quest,2011,79,3267,30,0.1,3.2,26.7,2405,7.9,1.105066667,0.91,33
0,,0,,No,No,Puss In Boots,373.5,Animation,DreamWorks,Quest,2011,76,8623,130,0.75,392.3,148.8,3952,34.1,4.017369231,0.83,522
0,,0,,No,No,Mars Needs Moms,17.6,Animation,Disney,Rescue,2011,43,2218,150,-2.85,-111,21.4,3117,6.9,0.259946667,0.36,39
0,,0,,No,No,Kung Fu Panda 2,497.78,Animation,DreamWorks Animation,Rivalry,2011,80,12142,150,0.77,513,165.2,3925,47.7,4.42016,0.82,663
0,,0,,No,No,The Sitter,4.14,Comedy,Fox,,2011,43,2582,25,0.28,9.6,30.4,2750,9.9,1.3832,0.22,35
0,,0,,No,No,We Bought a Zoo,26.7,Comedy,Fox,,2011,79,3003,50,0.51,51.2,74.5,3117,9.4,2.0236,0.63,101
0,,0,,No,No,Diary of a Wimpy Kid 2: Rodrick Rules,19.72,Comedy,20th Century Fox,Comedy,2011,63,7500,21,0.71,51.4,52.7,3167,23.8,3.448380952,0.47,72
0,,0,,No,No,Jack and Jill,51.1,Comedy,Happy Madison,Comedy,2011,59,7273,79,0.37,45.9,73.8,3438,25,1.581392405,0.04,125
0,,0,,No,No,Zookeeper,89.94,Comedy,Happy Madison Productions,Comedy,2011,42,5763,80,0.53,90.3,80.4,3482,20.1,2.1287625,0.14,170
0,,0,,No,No,Bad Teacher,115.9,Comedy,Independent,Comedy,2011,38,10365,20,0.91,196.2,100.3,3049,31.6,10.8098,0.44,216
0,,0,,No,No,30 Minutes or Less,3.49,Comedy,Independent,Comedy,2011,48,4616,28,0.31,12.5,37.1,2888,13.3,1.448071429,0.43,41
0,,0,,No,No,The Hangover Part II,327,Comedy,Legendary Pictures,Comedy,2011,58,23775,80,0.86,501.5,254.5,3615,85.9,7.2683,0.35,581
0,,0,,No,No,A Very Harold and Kumar Christmas,??,Comedy,Lionsgate,Comedy,2011,71,4506,19,0.44,15,34,2875,13,1.791789474,0.72,34
0,,0,,No,No,Paul,60.57,Comedy,Relativity,Comedy,2011,70,4655,40,0.59,58,37.4,2802,13,2.449575,0.72,98
0,,0,,No,No,Johnny English Reborn,149.63,Comedy,Relativity Media,Comedy,2011,55,2470,45,0.72,112.9,8.3,1552,3.8,3.509755556,0.38,158
0,,0,,No,No,The Dilemma,21.2,Comedy,Spyglass Entertainment,Comedy,2011,31,6060,70,0,-0.3,48.5,2940,17.8,0.995714286,0.23,70
0,,0,,No,No,No Strings Attached,77.1,Comedy,Spyglass Entertainment,Comedy,2011,57,6512,25,0.83,122.7,70.6,3018,19.7,5.908,0.49,148
0,,0,,No,No,Our Idiot Brother,,Comedy,The Weinstein Company,Comedy,2011,79,2744,5,0.8,19.8,24.8,2555,7,4.9632,0.68,25
0,,0,,No,No,Your Highness,3.26,Comedy,Universal,Comedy,2011,36,3380,49.9,-1.01,-25,21.6,2769,9.4,0.498116232,0.26,25
0,,0,,No,No,Mr. Popper's Penguins,119.14,Comedy,20th Century Fox,Discovery,2011,54,5524,55,0.71,132.4,68.2,3339,18.4,3.406454545,0.47,187
0,,0,,No,No,50/50,1.62,Comedy,Independent,Discovery,2011,93,3517,8,0.78,28.5,34.9,2458,8.6,4.563875,0.93,37
0,,0,,No,No,Take Me Home Tonight,,Comedy,Relativity,Discovery,2011,46,1730,25,-2.61,-18.1,6.9,2003,3.5,0.27712,0.28,7
0,,0,,No,No,Cedar Rapids,,Comedy,20th Century Fox,Maturation,2011,61,20198,10,-0.46,-3.1,6.9,15,0.3,0.6861,0.86,7
0,,0,,No,No,The Change Up,33.75,Comedy,Relativity Media,Metamorphosis,2011,53,4645,52,0.27,18.8,37.1,2913,13.5,1.362173077,0.24,71
0,,0,,No,No,The Muppets,69.8,Comedy,Disney,Quest,2011,87,8500,45,0.72,113.3,88.5,3440,29.2,3.518666667,0.97,158
0,,0,,No,No,Tower Heist,86.5,Comedy,Relativity,Revenge,2011,61,7135,75,0.54,89.5,78,3367,24,2.193866667,0.68,165
0,,0,,No,No,Horrible Bosses,92.1,Comedy,Warner Bros,Revenge,2011,72,9310,35,0.83,174.6,117.5,3040,28.3,5.989657143,0.69,210
0,,0,,No,No,Bridesmaids,119.28,Comedy,Relativity Media,Rivalry,2011,77,8995,32.5,0.89,255.9,169.1,2918,26.2,8.873292308,0.9,288
0,,0,,No,No,Arthur,12.7,Comedy,Warner Bros,Sacrifice,2011,49,3731,40,0.13,5.7,33,3276,12.2,1.143375,0.26,46
0,,0,,No,No,Hall Pass,38.1,Comedy,Warner Bros,Temptation,2011,44,4588,36,0.57,47.2,45.1,2950,13.5,2.31,0.35,83
0,,0,,No,No,What's Your Number,16.42,Comedy,20th Century Fox,Transformation,2011,50,1806,20,0.34,10.4,14,3002,5.4,1.5213,0.24,30
0,,0,,No,No,The Big Year,0.24,Comedy,Independent,Transformation,2011,62,1513,41,-4.53,-33.6,7.2,2150,3.3,0.180731707,0.38,7
0,,0,,No,No,War Horse,88.5,Drama,Disney,,2011,73,6114,66,0.61,101.5,79,2376,14.5,2.538484848,0.77,168
0,,0,,No,No,Albert Nobbs,0,Drama,Independent,,2011,43,2841,8,-1.91,-5.3,2.8,245,0.7,0.34375,0.53,3
0,,0,,No,No,Shame,10.09,Drama,Independent,,2011,80,34952,6.5,0.53,7.5,3.9,10,0.3,2.147692308,0.8,14
0,,0,,No,No,Extremely Loud and Incredibly Close,14.4,Drama,Warner Bros.,,2011,62,3820,40,0.13,6,31.6,2630,10,1.14975,0.47,46
0,,0,,No,No,The Iron Lady,53.47,Drama,Weinstein Company,,2011,54,6749,13,0.84,68.4,27.9,802,5.4,6.262307692,0.53,81
0,,0,,No,No,The Descendants,86.2,Drama,20th Century Fox,Discovery,2011,88,5000,20,0.88,147.7,81.5,876,4.4,8.3825,0.89,168
0,,0,,No,No,The Rum Diary,8.48,Drama,Independent,Discovery,2011,48,2259,45,-1.09,-23.4,13.1,2273,5.1,0.478933333,0.5,22
0,,0,,No,No,The Tree Of Life,41,Drama,Independent,Discovery,2011,61,93230,32,0.41,22.3,13.3,4,0.4,1.69696875,0.84,54
0,,0,,No,No,Everything Must Go,,Drama,Reliance Entertainment,Discovery,2011,53,3652,5,-0.84,-2.3,2.7,218,0.8,0.5422,0.74,3
0,,0,,No,No,Larry Crowne,16.8,Drama,Universal,Discovery,2011,46,4405,30,0.43,22.4,35.6,2973,13.1,1.746933333,0.34,52
0,,0,,No,No,The Company Men,0.4,Drama,Weinstein Company,Discovery,2011,55,6111,15,-2.13,-10.2,4.4,106,0.6,0.32,0.66,5
0,,0,,No,No,The Lincoln Lawyer,17,Drama,Lionsgate,Fish Out Of Water,2011,82,4879,40,0.47,35,58,2707,13.2,1.875225,0.84,75
0,,0,,No,No,Water For Elephants,58.39,Drama,20th Century Fox,Love,2011,72,5979,38,0.68,79.1,58.7,2817,16.8,3.081421053,0.6,117
0,,0,,No,No,A Dangerous Method,8.44,Drama,Independent,Love,2011,89,,20,-1.23,-11,0.5,,0.2,0.44864475,0.79,9
0,,0,,No,No,My Week with Marilyn,2.95,Drama,The Weinstein Company,Love,2011,84,7174,10,-0.21,-1.7,5.3,247,1.8,0.8258,0.83,8
0,,0,,No,No,Dolphin Tale,16.86,Drama,Independent,Quest,2011,81,5461,37,0.58,50.9,71.1,3507,19.2,2.376945946,0.84,88
0,,0,,No,No,Take Shelter,,Drama,Independent,Sacrifice,2011,85,,5,-2.18,-3.4,1.6,,0.1,0.3146,0.92,2
0,,0,,No,No,Anonymous,9.73,Drama,Relativity Media,Tragedy,2011,66,3856,30,-1.11,-15.8,4.5,265,1,0.473,0.46,14
0,,0,,No,No,Footloose,10.9,Drama,Spyglass Entertainment,Transformation,2011,71,4383,24,0.61,38.1,51.2,3549,15.6,2.585541667,0.71,62
0,,0,,No,No,The Beaver,5.4,Drama,Summit Entertainment,Transformation,2011,57,4890,21,-2.3,-14.6,1,22,0.1,0.303333333,0.62,6
0,,0,,No,No,Moneyball,32.5,Drama,Columbia,Underdog,2011,89,6516,50,0.54,58.1,75.6,2993,19.5,2.162,0.95,108
0,,0,,No,No,The Conspirator,2.67,Drama,Independent,Underdog,2011,65,4960,25,-0.76,-10.8,11.5,707,3.5,0.56844,0.56,14
0,,0,,No,No,Soul Surfer,0.41,Drama,Sony,Underdog,2011,79,4789,18,0.59,26.3,43.9,2214,10.6,2.459277778,0.46,44
0,,0,,No,No,Hesher,??,Drama,Independent,Wretched Excess,2011,68,,7,-17.32,-6.6,0.4,,0.1,0.054571429,0.54,0
0,,0,,No,No,J.Edgar,35.8,Drama,Warner Bros,Wretched Excess,2011,84,5873,35,0.52,38.2,37.4,1910,11.2,2.091142857,0.42,73
0,,0,,No,No,Harry Potter and the Deathly Hallows Part 2,947.1,Fantasy,Warner Bros,Rivalry,2011,92,38672,125,0.91,"1,203.10",381,4375,169.2,10.624888,0.96,1328
0,,0,,No,No,Another Earth,0.45,Fantasy,Independent,Temptation,2011,74,,0.2,0.89,1.6,1.3,,0.1,8.855,0.63,2
0,,0,,No,No,Red State,,Horror,Independent,Escape,2011,59,,4,-2.62,-2.9,1.1,,,0.276,0.57,1
0,,0,,No,No,Shark Night 3D,19.83,Horror,Relativity,Escape,2011,25,2995,25,0.35,13.7,18.9,2806,8.4,1.54808,0.16,39
0,,0,,No,No,Dylan Dog: Dead of Night,3.45,Horror,Independent,Monster Force,2011,28,,20,-3.32,-15.4,1.2,,0.8,0.23165,0.06,5
0,,0,,No,No,The Roommate,3.19,Horror,Independent,Monster Force,2011,29,5921,16,0.6,24.5,37.3,2534,15,2.53075,0.04,40
0,,0,,No,No,Paranormal Activity 3,98.24,Horror,Independent,Monster Force,2011,58,15829,5,0.98,196.9,103.7,3321,52.6,40.3794,0.68,202
0,,0,,No,No,Vanishing on 7th Street,1.05,Horror,Independent,Monster Force,2011,62,,10,-8.37,-8.9,0,,0,0.1067,0.52,1
0,,0,,No,No,Don't Be Afraid Of The Dark,7.5,Horror,Miramax Films,Monster Force,2011,37,3089,25,0.21,6.5,24,2760,8.5,1.26184,0.59,32
0,,0,,No,No,Final Destination 5,115.3,Horror,New Line Cinema,Monster Force,2011,56,5715,40,0.75,117.9,42.6,3155,18,3.947175,0.61,158
0,,0,,No,No,Super 8,132.71,Horror,Paramount,Monster Force,2011,78,10492,50,0.81,209.7,127,3379,35.5,5.19426,0.82,260
0,,0,,No,No,Insidious,43,Horror,Sony,Monster Force,2011,65,5511,1.5,0.98,95.5,54,2408,13.3,64.67266667,0.67,97
0,,0,,No,No,The Thing,10.5,Horror,Universal,Monster Force,2011,52,2835,38,-0.39,-10.6,16.9,2996,8.5,0.721789474,0.36,27
0,,0,,No,No,Red Riding Hood,51.5,Horror,Warner Bros,Monster Force,2011,41,4622,42,0.53,47.2,37.7,3030,14,2.122904762,0.11,89
0,,0,,No,No,The Rite,63,Horror,Warner Bros,Monster Force,2011,43,4955,37,0.61,59,33,2985,14.8,2.594594595,0.2,96
0,,0,,No,No,Apollo 18,7.88,Horror,Weinstein Company,Monster Force,2011,31,2615,5,0.8,20.6,17.7,3328,8.7,5.1124,0.23,26
0,,0,,No,No,Scream 4,58.96,Horror,Weinstein Company,Monster Force,2011,57,5656,40,0.59,57.1,38.2,3305,18.7,2.428425,0.58,97
0,,0,,No,No,Fright Night,18.8,Horror,DreamWorks,Rivalry,2011,68,2477,30,0.19,7.1,18.3,3114,7.7,1.236733333,0.75,37
0,,0,,No,No,Dream House,17.2,Horror,Morgan Creek Productions,The Riddle,2011,38,3055,50,-0.3,-11.5,21.3,2661,8.1,0.77004,0.07,39
0,,0,,No,No,Just Go With It,111.92,Romance,Happy Madison,Comedy,2011,63,8601,80,0.63,134.9,103,3548,30.5,2.6868125,0.19,215
0,,0,,No,No,"Crazy, Stupid, Love",58.5,Romance,Warner Bros,Discovery,2011,81,6326,50,0.65,92.8,84.3,3020,19.1,2.85682,0.78,143
0,,0,,No,No,Monte Carlo,16.48,Romance,20th Century Fox,Love,2011,50,3014,20,0.5,19.7,23.2,2473,7.5,1.9832,0.38,40
0,,0,,No,No,Something Borrowed,21.14,Romance,Independent,Love,2011,,4802,35,0.42,25.2,39,2904,13.9,1.719514286,,60
0,,0,,No,No,Waiting For Forever,,Romance,Independent,Love,2011,53,2972,5,-199,-5,0,3,0,0.005,0.06,0
0,,0,,No,No,One Day,41.4,Romance,Independent,Love,2011,54,2955,15,0.73,40.2,13.8,1719,5.1,3.682733333,0.37,55
0,,0,,No,No,Twilight: Breaking Dawn,421,Romance,Independent,Love,2011,68,34012,110,0.84,592.2,281.2,4061,138.1,6.383363636,0.26,702
0,,0,,No,No,Jane Eyre,18.91,Romance,Universal,Love,2011,77,,,,,11.2,,0.2,,0.85,30
0,,0,,No,No,New Year's Eve,87.5,Romance,Warner Bros.,Love,2011,48,3714,56,0.61,86,54.5,3505,13,2.536428571,0.08,142
0,,0,,No,No,Beastly,0.97,Romance,CBS Films,Metamorphosis,2011,50,5047,17,0.41,11.8,27.9,1952,9.9,1.696058824,0.19,29
0,,0,,No,No,Friends With Benefits,93.74,Romance,Warner Bros,Temptation,2011,68,6364,35,0.77,114.5,55.8,2926,18.6,4.2726,0.71,150
0,,0,,No,No,Tinker Tailor Soldier Spy,53.84,Thriller,Focus,,2011,68,6772,21,0.73,56.8,23.9,809,5.5,3.702380952,0.83,78
0,,0,,No,No,The Girl With The Dragon Tattoo,127.13,Thriller,Sony,,2011,89,4382,90,0.61,139.2,102.1,2914,12.8,2.546555556,0.87,229
0,,0,,No,No,The Son Of No One,,Thriller,Independent,Discovery,2011,61,1802,15,-499,-15,0,10,0,0.002,0.18,0
0,,0,,No,No,Trespass,3.1,Thriller,Independent,Escape,2011,24,,35,-10.2,-31.9,0,,0,0.089257143,0.11,3
0,,0,,No,No,I Am Number Four,89.4,Thriller,Paramount,Maturation,2011,57,6167,60,0.58,84.5,55.1,3154,19.4,2.408333333,0.32,145
0,,0,,No,No,The Debt,14.25,Thriller,Universal,Pursuit,2011,70,5427,20,0.56,25.4,31.2,1826,9.9,2.27145,0.76,45
0,,0,,No,No,Drive,32.33,Thriller,Independent,Rivalry,2011,79,3929,15,0.78,52,34.7,2886,11.3,4.467133333,0.93,67
0,,0,,No,No,The Adjustment Bureau,65.37,Thriller,Independent,Sacrifice,2011,67,7450,50.2,0.61,77.7,62.5,2840,21.2,2.547171315,0.72,128
0,,0,,No,No,Margin Call,3.93,Thriller,Independent,Sacrifice,2011,73,,3.5,0.61,5.4,4.9,,0.6,2.534,0.86,9
0,,0,,No,No,Unknown,67.1,Thriller,Independent,The Riddle,2011,57,7183,30,0.77,100.8,63.7,3043,21.9,4.359533333,0.55,131
0,,0,,No,No,In Time,90.9,Thriller,Regency Enterprises,The Riddle,2011,55,3860,40,0.69,87.4,36.5,3122,12.1,3.184825,0.38,127
0,,0,,No,No,Source Code,68.57,Thriller,Summit Entertainment,The Riddle,2011,81,5002,32,0.74,91.3,54.7,2961,14.8,3.8524375,0.92,123
0,,0,,No,No,Contagion,59.8,Thriller,Warner Bros,The Riddle,2011,63,6935,60,0.56,75.5,75.7,3222,22.4,2.257633333,0.84,135
0,,0,,No,No,The Ides of March,13.7,Thriller,Columbia,Transformation,2011,76,4761,12.5,0.77,41.7,40.5,2199,10.5,4.33552,0.85,54
0,,0,,No,No,Limitless,82.6,Thriller,Virgin,Wretched Excess,2011,73,6860,27,0.83,134.8,79.2,2756,18.9,5.994407407,0.69,162
1,Animated,1,Animated,No,Yes,Ratatouille,414.98,Animation,Disney,Transformation,2007,84,11935,150,0.76,471.4,206.5,3940,47,4.1428,0.97,621
1,Best Actor,1,Leading Actor,No,Yes,There Will Be Blood,35.96,Drama,Paramount,Wretched Excess,2007,84,5502,25,0.67,51.2,40.2,885,4.9,3.0473,0.91,76
1,Original Screenplay,1,Original Screenplay,No,Yes,Juno,87.69,Comedy,Fox,Maturation,2007,89,10436,7.5,0.97,223.7,143.5,1019,10.6,30.8246,0.94,231
1,supporting actress,1,Supporting Actress,No,Yes,Michael Clayton,43.96,Thriller,Independent,Transformation,2007,72,4131,25,0.73,68,49,2511,10.4,3.7197,0.9,93
